PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,FamilySize,Age_z,Fare_z,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,IsAlone_No,IsAlone_Yes
1,0,3,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,2,-0.5654188991856514,-0.5021631365156053,0,1,0,0,1,1,0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,71.2833,2,0.663488390424261,0.7864036178345383,1,0,1,0,0,1,0
3,1,3,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,1,-0.25819207678317324,-0.48857985158126105,1,0,0,0,1,0,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,2,0.4330682736224024,0.4204940697654092,1,0,0,0,1,1,0
5,0,3,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,1,0.4330682736224024,-0.48606442844527137,0,1,0,0,1,0,1
6,0,3,"Moran, Mr. James",28.0,0,0,330877,8.4583,1,-0.10457866558193422,-0.4778480503138746,0,1,0,1,0,0,1
7,0,1,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,1,1.8923956800341732,0.3955913807191113,0,1,0,0,1,0,1
8,0,3,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,5,-2.1015530111980416,-0.22395733767514675,0,1,0,0,1,1,0
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,3,-0.18138537118255374,-0.42401799520369554,1,0,0,0,1,1,0
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,2,-1.1798725439906075,-0.04293139010125909,1,0,1,0,0,1,0
11,1,3,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,3,-1.9479395999968028,-0.3119971474347855,1,0,0,0,1,1,0
12,1,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,1,2.1996225024366516,-0.11378180431879875,1,0,0,0,1,0,1
13,0,3,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,1,-0.7190323103868904,-0.48606442844527137,0,1,0,0,1,0,1
